STATUS | wrapper  | 2018/07/25 16:45:46 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2018/07/25 16:45:46 | Java Service Wrapper Community Edition 64-bit 3.5.17
STATUS | wrapper  | 2018/07/25 16:45:46 |   Copyright (C) 1999-2012 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2018/07/25 16:45:46 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2018/07/25 16:45:46 | 
STATUS | wrapper  | 2018/07/25 16:45:46 | Launching a JVM...
INFO   | jvm 1    | 2018/07/25 16:45:47 | Java HotSpot(TM) 64-Bit Server VM warning: ignoring option MaxPermSize=64m; support was removed in 8.0
INFO   | jvm 1    | 2018/07/25 16:45:47 | WrapperManager: Initializing...
INFO   | jvm 1    | 2018/07/25 16:45:48 | web - 2018-07-25 16:45:48,171 [WrapperSimpleAppMain] INFO  it.uniroma3.wcb.runner.WCBWebServer - Starting Web Server on port: 8092
INFO   | jvm 1    | 2018/07/25 16:45:48 | web - 2018-07-25 16:45:48,439 [WrapperSimpleAppMain] INFO  org.eclipse.jetty.server.Server - jetty-8.1.11.v20130520
INFO   | jvm 1    | 2018/07/25 16:45:48 | web - 2018-07-25 16:45:48,808 [WrapperSimpleAppMain] INFO  / - Initializing Spring root WebApplicationContext
INFO   | jvm 1    | 2018/07/25 16:45:55 | 16:45:55,651  INFO SchemaUpdate:105 - HHH000228: Running hbm2ddl schema update
INFO   | jvm 1    | 2018/07/25 16:46:02 | web - 2018-07-25 16:46:02,385 [WrapperSimpleAppMain] INFO  / - Initializing Spring FrameworkServlet 'mvc'
INFO   | jvm 1    | 2018/07/25 16:46:02 | web - 2018-07-25 16:46:02,699 [WrapperSimpleAppMain] INFO  o.e.jetty.server.AbstractConnector - Started SelectChannelConnector@0.0.0.0:8092
INFO   | jvm 1    | 2018/07/25 16:46:02 | web - 2018-07-25 16:46:02,704 [WrapperSimpleAppMain] INFO  it.uniroma3.wcb.runner.WCBWebServer - Web Server successfully started!
INFO   | jvm 1    | 2018/07/25 16:46:02 | web - 2018-07-25 16:46:02,704 [WrapperSimpleAppMain] INFO  it.uniroma3.wcb.runner.WCBWebServer -  - Context: /
INFO   | jvm 1    | 2018/07/25 16:46:02 | web - 2018-07-25 16:46:02,704 [WrapperSimpleAppMain] INFO  it.uniroma3.wcb.runner.WCBWebServer -  - Resource base: file:/home/super/wcbGiardi/wcbFinale/servizio/webapp/
INFO   | jvm 1    | 2018/07/25 16:46:02 | web - 2018-07-25 16:46:02,705 [WrapperSimpleAppMain] INFO  it.uniroma3.wcb.runner.WCBWebServer -  - Classpath: /home/super/wcbGiardi/wcbFinale/servizio/configs
INFO   | jvm 1    | 2018/07/25 16:46:02 | web - 2018-07-25 16:46:02,705 [WrapperSimpleAppMain] INFO  it.uniroma3.wcb.runner.WCBWebServer -  - Extra Classpath: ../../configs
INFO   | jvm 1    | 2018/07/25 16:46:19 | Jul 25, 2018 4:46:19 PM Wiki search
INFO   | jvm 1    | 2018/07/25 16:46:19 | INFO: Fetching URL https://en.wikipedia.org/w/api.php?format=xml&maxlag=5&action=query&list=search&srwhat=text&srprop=snippet%7Csectionsnippet%7CwordCount%7Cscore&srlimit=50&srsearch=napoleon&srnamespace=0&sroffset=0
INFO   | jvm 1    | 2018/07/25 16:46:20 | Jul 25, 2018 4:46:20 PM Wiki namespace
INFO   | jvm 1    | 2018/07/25 16:46:20 | INFO: Fetching URL https://en.wikipedia.org/w/api.php?format=xml&maxlag=5&action=query&meta=siteinfo&siprop=namespaces%7Cnamespacealiases
INFO   | jvm 1    | 2018/07/25 16:46:20 | Jul 25, 2018 4:46:20 PM Wiki namespace
INFO   | jvm 1    | 2018/07/25 16:46:20 | INFO: [en.wikipedia.org] Successfully retrieved namespace list (41 namespaces)
INFO   | jvm 1    | 2018/07/25 16:46:20 | Jul 25, 2018 4:46:20 PM Wiki search
INFO   | jvm 1    | 2018/07/25 16:46:20 | INFO: Fetching URL https://en.wikipedia.org/w/api.php?format=xml&maxlag=5&action=query&list=search&srwhat=text&srprop=snippet%7Csectionsnippet%7CwordCount%7Cscore&srlimit=50&srsearch=napoleon&srnamespace=0&sroffset=50
INFO   | jvm 1    | 2018/07/25 16:46:21 | Jul 25, 2018 4:46:21 PM Wiki search
INFO   | jvm 1    | 2018/07/25 16:46:21 | INFO: [en.wikipedia.org] Successfully searched for string "napoleon" (99 items found)
INFO   | jvm 1    | 2018/07/25 16:46:21 | web - 2018-07-25 16:46:21,174 [qtp1801602722-23] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() total pageRequest => 99 
INFO   | jvm 1    | 2018/07/25 16:46:21 | web - 2018-07-25 16:46:21,456 [qtp1801602722-23] INFO  org.mongodb.driver.cluster - Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
INFO   | jvm 1    | 2018/07/25 16:46:21 | web - 2018-07-25 16:46:21,642 [qtp1801602722-23] INFO  org.mongodb.driver.cluster - Cluster description not yet available. Waiting for 30000 ms before timing out
INFO   | jvm 1    | 2018/07/25 16:46:21 | web - 2018-07-25 16:46:21,651 [cluster-ClusterId{value='5b590bcda5b7da2b930ac591', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:547}] to localhost:27017
INFO   | jvm 1    | 2018/07/25 16:46:21 | web - 2018-07-25 16:46:21,662 [cluster-ClusterId{value='5b590bcda5b7da2b930ac591', description='null'}-localhost:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[3, 6, 3]}, minWireVersion=0, maxWireVersion=6, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=8010753}
INFO   | jvm 1    | 2018/07/25 16:46:21 | web - 2018-07-25 16:46:21,712 [qtp1801602722-23] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:548}] to localhost:27017
INFO   | jvm 1    | 2018/07/25 16:46:22 | web - 2018-07-25 16:46:22,469 [qtp1801602722-23] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() present in NoSql => 87
INFO   | jvm 1    | 2018/07/25 16:46:22 | web - 2018-07-25 16:46:22,470 [qtp1801602722-23] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() present in MySql => 0
INFO   | jvm 1    | 2018/07/25 16:46:22 | web - 2018-07-25 16:46:22,470 [qtp1801602722-23] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() present in Wikipedia => 0
INFO   | jvm 1    | 2018/07/25 16:47:02 | Jul 25, 2018 4:47:02 PM Wiki search
INFO   | jvm 1    | 2018/07/25 16:47:02 | INFO: Fetching URL https://en.wikipedia.org/w/api.php?format=xml&maxlag=5&action=query&list=search&srwhat=text&srprop=snippet%7Csectionsnippet%7CwordCount%7Cscore&srlimit=50&srsearch=napoleon&srnamespace=0&sroffset=0
INFO   | jvm 1    | 2018/07/25 16:47:03 | Jul 25, 2018 4:47:03 PM Wiki namespace
INFO   | jvm 1    | 2018/07/25 16:47:03 | INFO: Fetching URL https://en.wikipedia.org/w/api.php?format=xml&maxlag=5&action=query&meta=siteinfo&siprop=namespaces%7Cnamespacealiases
INFO   | jvm 1    | 2018/07/25 16:47:03 | Jul 25, 2018 4:47:03 PM Wiki namespace
